"attacking_team","is_home","defending_team","shot_dist","dist_to_goal","shot_angle","body_part","shot_technique","shot_type","teammates_in_frame","opponents_in_frame","closest_opponent_dist","goalkeeper_dist","opponents_in_penalty_area","opponents_in_goal_area","opponents_in_shot_path","is_penalty","is_goal"
"Chievo",0,"AC Milan",5.2773099207835,13.1095385120911,15.7646189908462,"Right Foot","Normal","Open Play",0,3,2.23606797749979,6.03738353924943,3,1,1,0,0
"AC Milan",1,"Chievo",36.2713385471229,38.6865609740644,10.5290936181677,"Right Foot","Normal","Open Play",7,11,3.77359245282264,36.2729927080741,3,1,2,0,0
"AC Milan",1,"Chievo",17.7079078380254,17.3441632833642,25.6551301645024,"Right Foot","Normal","Open Play",3,7,2.1095023109729,15.546703830716,4,1,1,0,0
"AC Milan",1,"Chievo",0.921954445729292,24.7487373415292,13.2083929453213,"Right Foot","Half Volley","Open Play",1,5,1.20415945787923,20.2237484161567,3,1,1,0,0
"AC Milan",1,"Chievo",29.8839421763595,22.8019735987918,16.9514436237183,"Right Foot","Normal","Open Play",7,11,3.47131099154196,18.422811946063,10,1,2,0,0
"AC Milan",1,"Chievo",21.783020910792,20.0384630149121,21.0006553894958,"Right Foot","Normal","Open Play",4,8,1.81107702762748,15.8398232313369,6,1,1,0,0
"AC Milan",1,"Chievo",20.6421898063166,22.5853935099657,18.0269704341325,"Right Foot","Normal","Open Play",3,8,2.55538646783612,19.6824795185972,6,1,2,0,0
"AC Milan",1,"Chievo",4.78539444560216,4.97393204617835,75.7445035601483,"Head","Normal","Open Play",4,10,0.509901951359277,2.02237484161567,10,7,0,0,0
"Chievo",0,"AC Milan",21.0838800983121,24.0682363292369,14.1874041705645,"Right Foot","Normal","Open Play",2,5,2.43515913237719,20.2071769428587,2,1,1,0,0
"Empoli",0,"AC Milan",43.9660095983249,36.314735301252,11.3204197006908,"Left Foot","Normal","Open Play",6,9,2.20227155455452,34.1234523458574,1,1,2,0,0
"AC Milan",1,"Empoli",30.3441921955421,29.1686475517807,15.5819709175599,"Left Foot","Normal","Open Play",5,8,1.52970585407783,27.7584221453598,1,1,1,0,0
"Empoli",0,"AC Milan",3.35410196624968,17.9780421625938,11.7679165449051,"Right Foot","Normal","Open Play",3,8,3.31058907144937,14.2298981022353,5,1,2,0,0
"AC Milan",1,"Empoli",11.9603511654132,12.8689548915209,23.418696921825,"Right Foot","Normal","Open Play",0,4,1.52970585407783,1.52970585407783,3,0,0,0,1
"Empoli",0,"AC Milan",41.2137113106791,36.9671475772746,11.7451623500706,"Left Foot","Normal","Open Play",7,10,1.3,34.2811901777053,1,1,2,0,0
"Empoli",0,"AC Milan",14.3401534161947,14.6659469520382,23.8459631377466,"Left Foot","Normal","Open Play",2,8,1.60312195418814,9.44033897696475,4,1,1,0,1
"Empoli",0,"AC Milan",20.8959326185744,21.0447143007454,21.2960901622514,"Right Foot","Normal","Open Play",3,8,2.87923600977759,19.2844496939892,4,1,1,0,0
"AC Milan",1,"Empoli",10.2615788258922,11.5572488075666,37.8010222785099,"Head","Normal","Open Play",4,8,1.16619037896906,10.5683489722851,5,1,1,0,0
"AC Milan",1,"Empoli",33.1689613946533,29.3027302482209,15.038857081415,"Left Foot","Normal","Open Play",4,9,1.10453610171873,27.6052531232735,3,1,1,0,0
"Empoli",0,"AC Milan",20.2277037747738,23.2757384415618,18.508150180537,"Right Foot","Normal","Open Play",6,9,3.29848450049413,21.6965435035169,5,1,1,0,0
"Empoli",0,"AC Milan",7.94040301244212,12.7624449068351,20.3231368296629,"Left Foot","Normal","Open Play",4,8,1.40356688476182,9.43398113205661,6,1,1,0,0
"Empoli",0,"AC Milan",17.5390991786922,17.1353435915362,26.2322287347409,"Right Foot","Half Volley","Open Play",7,11,7.70064932327137,15.3160047009656,9,2,3,0,0
"Empoli",0,"AC Milan",22.8035085019828,25.2572761793508,17.9602177644341,"Right Foot","Normal","Open Play",4,8,1.0770329614269,23.7033752870767,1,1,2,0,0
"Empoli",0,"AC Milan",9.90858213873206,30.2834938539132,9.92064654041584,"Left Foot","Normal","Free Kick",7,11,9.9724620831568,29.2837839085047,11,1,2,0,0
"Empoli",0,"AC Milan",2,23.201939574096,19.5616988994704,"Right Foot","Normal","Open Play",4,8,2.10237960416287,19.7010152022681,3,1,2,0,0
"Empoli",0,"AC Milan",35.0294162098086,31.705204620062,14.0305194504683,"Right Foot","Normal","Open Play",5,9,2.55538646783613,29.420571034567,1,1,3,0,0
"Empoli",0,"AC Milan",9.74166310236603,13.3405397192168,28.733741688043,"Right Foot","Half Volley","Open Play",3,7,1.66433169770933,9.76165969494942,3,1,1,0,0
"Empoli",0,"AC Milan",24.0634577731464,27.3221521846285,13.8423029820324,"Right Foot","Normal","Open Play",3,8,4.20594816896262,25.6628135635982,5,1,1,0,0
"AC Milan",1,"Empoli",7.3006848993776,6.08769250208977,65.9542192468334,"Head","Normal","Open Play",6,11,1.00498756211209,1.11803398874989,11,4,3,0,1
